,Time,Observed,Predicted
0,0.0,0.024686,
1,0.005,-0.05407,
2,0.01,-0.009903,
3,0.015,0.055296,
4,0.02,-0.004513,
5,0.025,-0.036001,
6,0.03,0.014456,
7,0.035,0.009169,
8,0.04,0.045814,
9,0.045,-0.088932,
10,0.05,0.024024,
11,0.055,0.022471,
12,0.06,0.002575,
13,0.065,-0.015543,
14,0.07,-0.016508,
15,0.075,0.045907,
16,0.08,0.018627,
17,0.085,-0.075366,
18,0.09,0.03572,
19,0.095,0.001368,
20,0.1,0.027002,
21,0.105,-0.053147,
22,0.11,-0.009451,
23,0.115,0.055766,
24,0.12,-0.007135,
25,0.125,-0.033766,
26,0.13,0.012807,
27,0.135,0.009283,
28,0.14,0.046825,
29,0.145,-0.088342,
30,0.15,0.023899,
31,0.155,0.025081,
32,0.16,0.00216,
33,0.165,-0.01533,
34,0.17,-0.01579,
35,0.175,0.046242,
36,0.18,0.016658,
37,0.185,-0.073476,
38,0.19,0.03197,
39,0.195,0.005157,
40,0.2,0.030084,
41,0.205,-0.052816,
42,0.21,-0.007324,
43,0.215,0.052361,
44,0.22,-0.006651,
45,0.225,-0.035553,
46,0.23,0.015869,
47,0.235,0.008339,
48,0.24,0.046341,
49,0.245,-0.097822,
50,0.25,0.029781,
51,0.255,0.028424,
52,0.26,0.003327,
53,0.265,-0.013808,
54,0.27,-0.019026,
55,0.275,0.046987,
56,0.28,0.017939,
57,0.285,-0.073813,
58,0.29,0.03053,
59,0.295,0.005937,-0.05683423578739166
60,0.3,0.027522,-0.0488245002925396
61,0.305,-0.051676,-0.06960644572973251
62,0.31,-0.006183,0.017228884622454643
63,0.315,0.05062,0.09843862801790237
64,0.32,-0.005888,0.038798920810222626
65,0.325,-0.033375,-0.020255722105503082
66,0.33,0.014456,-0.024738287553191185
67,0.335,0.009123,0.03224758803844452
68,0.34,0.045752,0.05992177128791809
69,0.345,-0.096454,-0.12304936349391937
70,0.35,0.026602,0.007785075344145298
71,0.355,0.02921,0.054964207112789154
72,0.36,0.006373,0.03148021176457405
73,0.365,-0.01232,-0.0068953619338572025
74,0.37,-0.017958,-0.021339911967515945
75,0.375,0.045253,0.00025221676332876086
76,0.38,0.017858,-0.012631161138415337
77,0.385,-0.073753,-0.06009330227971077
78,0.39,0.026968,0.05799752473831177
79,0.395,0.008333,-0.003783083287999034
80,0.4,0.033529,0.022140642628073692
81,0.405,-0.051777,-0.06092490255832672
82,0.41,-0.003761,-0.025268105790019035
83,0.415,0.049362,0.041213277727365494
84,0.42,-0.008257,0.00046928622759878635
85,0.425,-0.033392,-0.018306998535990715
86,0.43,0.014072,0.02699063904583454
87,0.435,0.006301,0.03235441446304321
88,0.44,0.041806,0.04756471514701843
89,0.445,-0.087619,-0.10608908534049988
90,0.45,0.030409,0.021669145673513412
91,0.455,0.029849,0.04342429339885712
92,0.46,0.008609,0.02291170321404934
93,0.465,-0.013474,-0.02470313385128975
94,0.47,-0.020369,-0.023671256378293037
95,0.475,0.045477,0.03194371983408928
96,0.48,0.019154,0.007072401698678732
97,0.485,-0.074941,-0.08088789880275726
98,0.49,0.024974,0.030377207323908806
99,0.495,0.015033,0.005498765967786312
100,0.5,0.040495,0.03198742866516113
101,0.505,-0.051046,-0.030681904405355453
102,0.51,-0.001775,0.002219870686531067
103,0.515,0.04667,0.03886640444397926
104,0.52,-0.010072,-0.006997237913310528
105,0.525,-0.03383,-0.02451622486114502
106,0.53,0.014319,0.01630885899066925
107,0.535,0.005788,0.03917013481259346
108,0.54,0.03904,0.03886117413640022
109,0.545,-0.097578,-0.08724040538072586
110,0.55,0.033045,0.02820025384426117
111,0.555,0.029753,0.03848687931895256
112,0.56,0.012137,0.025824138894677162
113,0.565,-0.01473,-0.02628696896135807
114,0.57,-0.019587,-0.022000020369887352
115,0.575,0.044053,0.04317007586359978
116,0.58,0.019251,0.0012990236282348633
117,0.585,-0.075174,-0.08055704832077026
118,0.59,0.023929,0.02789042331278324
119,0.595,0.013601,-0.009259551763534546
120,0.6,0.040754,0.03060952201485634
121,0.605,-0.050675,-0.05016547441482544
122,0.61,-0.000596,0.007613834459334612
123,0.615,0.046609,0.0489201694726944
124,0.62,-0.008922,-0.0032959182281047106
125,0.625,-0.033777,-0.027493560686707497
126,0.63,0.013017,0.02620273269712925
127,0.635,0.005892,0.02771342732012272
128,0.64,0.038238,0.03696105256676674
129,0.645,-0.090986,-0.09417100250720978
130,0.65,0.026598,0.03591405972838402
131,0.655,0.027016,0.03356077894568443
132,0.66,0.01418,0.02135794423520565
133,0.665,-0.016351,-0.020360268652439117
134,0.67,-0.017692,-0.014369362033903599
135,0.675,0.041954,0.04042550548911095
136,0.68,0.017172,0.00023043842520564795
137,0.685,-0.075543,-0.07864497601985931
138,0.69,0.024069,0.028060730546712875
139,0.695,0.012861,-0.006182215642184019
140,0.7,0.040173,0.033429235219955444
141,0.705,-0.049744,-0.04356449469923973
142,0.71,-0.001713,0.0009618780459277332
143,0.715,0.047458,0.04180820286273956
144,0.72,-0.007026,0.003643206786364317
145,0.725,-0.034638,-0.032609932124614716
146,0.73,0.012563,0.015368584543466568
147,0.735,0.005499,0.02015053853392601
148,0.74,0.038904,0.0344739705324173
149,0.745,-0.091773,-0.08056624978780746
150,0.75,0.026578,0.03133133426308632
151,0.755,0.025317,0.02119988575577736
152,0.76,0.012847,0.024822091683745384
153,0.765,-0.015741,-0.01675238460302353
154,0.77,-0.016691,-0.007447713986039162
155,0.775,0.040704,0.04144659265875816
156,0.78,0.017069,0.003809973131865263
157,0.785,-0.07583,-0.06851166486740112
158,0.79,0.025106,0.028011202812194824
159,0.795,0.011197,-0.010265056043863297
160,0.8,0.037927,0.034725580364465714
161,0.805,-0.051331,-0.046951763331890106
162,0.81,-0.001232,-0.0018762762192636728
163,0.815,0.047217,0.03806138411164284
164,0.82,-0.004974,0.008400717750191689
165,0.825,-0.034504,-0.03561200201511383
166,0.83,0.012836,0.016011785715818405
167,0.835,0.006243,0.016917843371629715
168,0.84,0.039516,0.03207724168896675
169,0.845,-0.095604,-0.07872316241264343
170,0.85,0.02189,0.0287423487752676
171,0.855,0.026347,0.01807522214949131
172,0.86,0.010992,0.02879941090941429
173,0.865,-0.013362,-0.02586938813328743
174,0.87,-0.014222,-0.0013613030314445496
175,0.875,0.040522,0.04034794494509697
176,0.88,0.015986,0.002355155535042286
177,0.885,-0.076553,-0.06626016646623611
178,0.89,0.025009,0.02774125710129738
179,0.895,0.009399,-0.011522144079208374
180,0.9,0.036565,0.038353148847818375
181,0.905,-0.052168,-0.058329757302999496
182,0.91,-0.00192,-0.0003566271625459194
183,0.915,0.047905,0.039702560752630234
184,0.92,-0.003271,0.00968716386705637
185,0.925,-0.034793,-0.03506350889801979
186,0.93,0.01321,0.02443382330238819
187,0.935,0.00556,0.014832387678325176
188,0.94,0.040043,0.031925126910209656
189,0.945,-0.09259,-0.08012031018733978
190,0.95,0.021042,0.030313512310385704
191,0.955,0.025783,0.02154359221458435
192,0.96,0.009609,0.029074758291244507
193,0.965,-0.013599,-0.031788282096385956
194,0.97,-0.015716,0.006517032161355019
195,0.975,0.040645,0.04355781525373459
196,0.98,0.015568,-0.003955842927098274
197,0.985,-0.076026,-0.0642491951584816
198,0.99,0.027293,0.03510341793298721
199,0.995,0.009801,-0.010135050863027573
200,1.0,0.037897,0.04226488620042801
201,1.005,-0.052312,-0.05681340768933296
202,1.01,-0.0021,0.0027503774035722017
203,1.015,0.046831,0.044061291962862015
204,1.02,-0.003485,-0.002231563674286008
205,1.025,-0.034217,-0.021182537078857422
206,1.03,0.01364,0.023405952379107475
207,1.035,0.005936,0.007456745486706495
208,1.04,0.042096,0.04105015844106674
209,1.045,-0.093297,-0.0849100798368454
210,1.05,0.020054,0.02661949396133423
211,1.055,0.027089,0.031676772981882095
212,1.06,0.009285,0.01897706463932991
213,1.065,-0.013429,-0.020903654396533966
214,1.07,-0.014422,-0.0005518591497093439
215,1.075,0.040241,0.042413048446178436
216,1.08,0.0152,0.005465255584567785
217,1.085,-0.075611,-0.07733914256095886
218,1.09,0.027787,0.02572658844292164
219,1.095,0.008639,-0.003852546913549304
220,1.1,0.036343,0.040577277541160583
221,1.105,-0.051587,-0.04859777167439461
222,1.11,-0.001421,-0.0027650264091789722
223,1.115,0.047432,0.042087990790605545
224,1.12,-0.002653,-0.005711657926440239
225,1.125,-0.034107,-0.030171075835824013
226,1.13,0.012404,0.016835052520036697
227,1.135,0.0056,0.01175557542592287
228,1.14,0.0413,0.04668552055954933
229,1.145,-0.093658,-0.09002631902694702
230,1.15,0.020674,0.022149132564663887
231,1.155,0.027508,0.033368270844221115
232,1.16,0.010172,0.0162814948707819
233,1.165,-0.013481,-0.01704430766403675
234,1.17,-0.014553,-0.006233926396816969
235,1.175,0.040748,0.04165944829583168
236,1.18,0.014598,0.009370830841362476
237,1.185,-0.075714,-0.07963419705629349
238,1.19,0.025349,0.022656772285699844
239,1.195,0.012377,0.0011245732894167304
240,1.2,0.03958,0.039680562913417816
241,1.205,-0.050047,-0.04897049814462662
242,1.21,-0.001271,-0.004223473370075226
243,1.215,0.046477,0.045418981462717056
244,1.22,-0.004095,-0.005756455007940531
